# (a_i, b_i) = (0.200, 0.250)
# resolution: 150
# category labels: t=tipping, n=none(tip to periodic attractors), c=converge, ns=notSufficient
# load method: df = pd.read_csv('xxx.csv', comment='#')
# protocol s >=0
category,a,b
t,1.3251473737703503,-0.9205298013245033
t,1.3495739613052875,-0.9205298013245033
t,1.3740005488402247,-0.9205298013245033
t,1.3984271363751624,-0.9205298013245033
t,1.4228537239100996,-0.9205298013245033
t,1.4472803114450368,-0.9205298013245033
t,1.4717068989799744,-0.9205298013245033
t,1.4961334865149116,-0.9205298013245033
t,1.5205600740498488,-0.9205298013245033
t,1.544986661584786,-0.9205298013245033
t,1.5694132491197237,-0.9205298013245033
t,1.593839836654661,-0.9205298013245033
t,1.618266424189598,-0.9205298013245033
t,1.6426930117245357,-0.9205298013245033
t,1.667119599259473,-0.9205298013245033
t,1.6915461867944102,-0.9205298013245033
t,1.7159727743293474,-0.9205298013245033
t,1.7648259493992222,-0.9205298013245033
t,1.7892525369341594,-0.9205298013245033
t,1.813679124469097,-0.9205298013245033
t,1.8381057120040343,-0.9205298013245033
t,1.8625322995389715,-0.9205298013245033
t,1.8869588870739087,-0.9205298013245033
t,1.9113854746088463,-0.9205298013245033
t,1.9358120621437835,-0.9205298013245033
t,1.9602386496787207,-0.9205298013245033
t,1.984665237213658,-0.9205298013245033
t,2.0090918247485954,-0.9205298013245033
t,2.0335184122835326,-0.9205298013245033
t,2.05794499981847,-0.9205298013245033
t,2.082371587353408,-0.9205298013245033
t,2.106798174888345,-0.9205298013245033
t,2.1312247624232823,-0.9205298013245033
t,2.1556513499582195,-0.9205298013245033
t,2.1800779374931567,-0.9205298013245033
t,2.204504525028094,-0.9205298013245033
t,2.228931112563031,-0.9205298013245033
t,2.253357700097969,-0.9205298013245033
t,2.2777842876329064,-0.9205298013245033
t,2.3022108751678436,-0.9205298013245033
t,2.326637462702781,-0.9205298013245033
t,2.351064050237718,-0.9205298013245033
t,2.3754906377726552,-0.9205298013245033
t,2.3999172253075924,-0.9205298013245033
t,2.4243438128425305,-0.9205298013245033
t,2.4487704003774677,-0.9205298013245033
t,2.473196987912405,-0.9205298013245033
t,2.497623575447342,-0.9205298013245033
t,2.5220501629822794,-0.9205298013245033
t,2.5464767505172166,-0.9205298013245033
t,2.5709033380521538,-0.9205298013245033
t,2.595329925587091,-0.9205298013245033
t,2.619756513122029,-0.9205298013245033
t,2.6441831006569663,-0.9205298013245033
t,2.6686096881919035,-0.9205298013245033
t,2.6930362757268407,-0.9205298013245033
t,2.717462863261778,-0.9205298013245033
t,2.741889450796715,-0.9205298013245033
t,-0.8853329677099674,-0.9072847682119205
t,-0.861242138656635,-0.9072847682119205
t,-0.8371513096033025,-0.9072847682119205
t,-0.81306048054997,-0.9072847682119205
t,-0.7889696514966377,-0.9072847682119205
t,-0.7648788224433052,-0.9072847682119205
t,-0.7407879933899728,-0.9072847682119205
t,-0.7166971643366403,-0.9072847682119205
t,-0.6926063352833078,-0.9072847682119205
t,-0.6685155062299755,-0.9072847682119205
t,-0.644424677176643,-0.9072847682119205
t,-0.6203338481233105,-0.9072847682119205
t,1.0419333565566284,-0.9072847682119205
t,1.0660241856099608,-0.9072847682119205
t,1.0901150146632932,-0.9072847682119205
t,1.1142058437166258,-0.9072847682119205
t,1.1382966727699582,-0.9072847682119205
t,1.1623875018232905,-0.9072847682119205
t,1.186478330876623,-0.9072847682119205
t,1.2105691599299553,-0.9072847682119205
t,1.234659988983288,-0.9072847682119205
t,1.2587508180366205,-0.9072847682119205
t,1.2828416470899529,-0.9072847682119205
t,1.3069324761432852,-0.9072847682119205
t,1.3310233051966176,-0.9072847682119205
t,1.35511413424995,-0.9072847682119205
t,1.3792049633032828,-0.9072847682119205
t,1.4032957923566152,-0.9072847682119205
t,1.4273866214099475,-0.9072847682119205
t,1.45147745046328,-0.9072847682119205
t,1.4755682795166123,-0.9072847682119205
t,1.4996591085699447,-0.9072847682119205
t,1.5237499376232775,-0.9072847682119205
t,1.5478407666766099,-0.9072847682119205
t,1.5719315957299422,-0.9072847682119205
t,1.5960224247832746,-0.9072847682119205
t,1.620113253836607,-0.9072847682119205
t,1.6442040828899394,-0.9072847682119205
t,1.6682949119432722,-0.9072847682119205
t,1.6923857409966045,-0.9072847682119205
t,1.716476570049937,-0.9072847682119205
t,1.7405673991032693,-0.9072847682119205
t,1.7646582281566017,-0.9072847682119205
